epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.01608252339065075,0.04926179721951485,0.9831630674645444,0.7208795807724123,0.975114558646015,0.8255648348088336
2,0.013851439580321312,0.013382102362811565,0.993036337451901,0.7958104471395986,0.975432064345592,0.8623908550045628
3,0.009567514061927795,0.004652648698538542,0.9924144747444816,0.8285988587754247,0.9803928279517049,0.8597064356168275
4,0.006881558336317539,0.012319211848080158,0.9926944982346195,0.837654633550485,0.9788155849465267,0.8587854577268076
5,0.007739502936601639,0.006762218661606312,0.992720959905243,0.8479454836571415,0.9808908023258319,0.8672475172352896
6,0.005856786854565144,0.01146060973405838,0.9924663120972912,0.841037870322194,0.988491590663847,0.8649359926394896
7,0.0061678350903093815,0.028018629178404808,0.9929762115495395,0.8468808982229591,0.9820234252241213,0.8531188947238764
8,0.005663662683218718,0.007079406641423702,0.9918586918945562,0.8464194001988514,0.9816536315698848,0.8543966097578416
9,0.005183029919862747,0.011657392606139183,0.9932304983143485,0.8445338108076896,0.9883527955595827,0.8329522422036487
10,0.004107715096324682,0.008906586095690727,0.9928091232824251,0.8478891719777712,0.9846481450813918,0.8317908069303453
11,0.004382378421723843,0.00477788969874382,0.9919096654772859,0.8436689679510089,0.9803789817455398,0.8484218638849399
12,0.0039607021026313305,0.05639580637216568,0.9927077070592244,0.8446643578439827,0.9884618159367687,0.8472811000713534
13,0.007974370382726192,0.0074734813533723354,0.9926690600383622,0.8435152768991446,0.9846381734494422,0.8537117520712336
14,0.002918215934187174,0.005546968430280685,0.9927307801216648,0.8434342693537711,0.9879460701849827,0.8300624327911271
15,0.003345613135024905,0.009856765158474445,0.9926080432243556,0.8409865131018016,0.9872069304711573,0.8426156644203145
16,0.0034516367595642805,0.0030222490895539522,0.9924425771305215,0.8393416756709331,0.9801509929317166,0.8321089568113745
17,0.00318758562207222,0.007304412312805653,0.9920600132688557,0.839433567608947,0.9840567749848309,0.8216998859218471
18,0.008389993570744991,0.00813815277069807,0.9933846701587179,0.8140672449580187,0.9885774901076267,0.8456806743451831
19,0.004710555542260408,0.00586778623983264,0.9935224412321441,0.8293669444582379,0.988487031824159,0.8465316696445597
20,0.0058884588070213795,0.00522448169067502,0.9931682720122219,0.8402020758194751,0.9843564074636046,0.870484661641655
21,0.003908335231244564,0.004943120758980513,0.9927550641904184,0.8430247198892504,0.9882263785910754,0.823474161549803
22,0.007763029076159,0.006928908172994852,0.9932641335980898,0.8398084240952945,0.9881907168031195,0.8527691270604488
23,0.002367509761825204,0.009916765615344048,0.9931949780069196,0.840733403282319,0.9883796683768984,0.8461410804053755
24,0.004133549984544516,0.00569274602457881,0.9930836792764747,0.8407236303278517,0.9770613768189039,0.819984217518993
25,0.003303616074845195,0.003978442400693893,0.9925245781262049,0.8418785018022721,0.9884405372313456,0.8357690278667743
